name_s,lats_s,lngs_s,vicinity_s,id_s
Indian-Music,17.31622730000000,78.53460659999999,"Prashanthi Hills, Almasguda, Hyderabad",ChIJvU1oTGiiyzsRheszldxWoDo
Lucas-Tvs,17.42290710000000,78.54656800000000,"Plot No 7, Shop No 5, Snehapuri Colony, Nacharam, Hyderabad",ChIJVVVV0RqRyzsRqCNDMwiABxQ
"Eureka Forbes Ltd",17.32330019999999,78.55117899999999,"Hyderabad, DRDL Colony, Hastinapuram, Hyderabad",ChIJVVVVBRGiyzsRpChLVIQ3Yj4
"Siri Gold & Silver Jewellery Work's",17.32232710000000,78.55847340000000,"8-7-89/4;;chaitanya nagar, Near B.D Gardens, B.N Reddy Nagar ,Hyderabad, Hydereabad",ChIJVVVVBRmiyzsR41ilVlu-yc4
"Siri Collections",17.36928230000000,78.55330860000000,"11-13-365, Dmr Kasturi Nilayam, Alkapuri, R K Puram, Alkapuri, Hyderabad",ChIJVVVVlcWYyzsR7nAIGJqh5hY
"Maruti Agencies",17.38434299999999,78.47867900000000,"5-1-597, Troop Bazaar, Koti, Hyderabad",ChIJVVVVxdWZyzsRlYgbQYWEQ70
Herbalife,17.34611080000000,78.50502689999999,"Flat no 101, Srinivas Apartment, Near ganesh temple, Koti, Hyderabad",ChIJVVVVYRqXyzsRWeslaT-j8eo
"Whirlpool Refrigerator Professional Service",17.34425070000000,78.50870850000000,"9-33, Maruthi Nagar Main Road, Santosh Nagar, New Santoshnagar, Santosh Nagar, Hyderabad",ChIJw1oXhXCYyzsRK92KVtRDRKw
"National Wood Carving Handi Crafts Furniture Works",17.35248460000000,78.55062530000000,"S No C11-14/157/3, Sri Nagar Colony, Thakshila School Building, Opposite Siris Gate, L B Nagar, L B Nagar, Hyderabad",ChIJW3wLDbuYyzsRcRC8oLrIkE4
"Sri Srinivasa General Store",17.34467310000000,78.52138330000000,"10-1-70/1/10, Karmanghat X Road, Near Sree Laxmi Theatre, Karmanghat, Karmanghat, Hyderabad",ChIJwUt5b4eYyzsRvmS6q2-M5NY
Pochampally.com,17.33817880000000,78.55028700000000,"Flat No. 302, Plot. 90, Omkarnagar, Nagarjuna Sagar Road, LB Nagar, Hyderabad",ChIJx6lYL7aWyzsRhGnRPn2gEno
"G PULLA REDDY SWEETS",17.36867800000000,78.52969240000000,"4-1/B, Vikas Nagar, Chaitanyapuri Main Road, Opp. McDonalds,, Dilsukhnagar, Hyderabad",ChIJXduR_POYyzsRbIT_LlqUiJc
"Sri Ganesh Motors",17.34528590000000,78.55340020000000,"8-4/3, Chandrapuri Colony, LB Nagar, Hyderabad",ChIJxSl56KWYyzsR4wkBKVTb3qc
"Balaji Enterprises",17.34648060000000,78.55095829999999,"Door No 3-11-140/3/A, Opposite Narayana Residential College, Kamineni Hospital, L B Nagar, L B Nagar, Hyderabad",ChIJz1Hl-uihyzsRVZqBjWLtKfw
"Siri Collections",17.36515260000000,78.55455820000000,"Road Number 14, Alkapuri, Nagole, Hyderabad",ChIJzcjvKsaYyzsRdnVR3kcBLk0
"Apollo Pharmacy",17.32140670000000,78.57252230000000,"Vanasthalipuram, Road No 2, Vaidehi Nagar, Vanasthalipuram, Hyderabad",ChIJZWf2MuWhyzsRIdJEfEUWdsM
"Kinghorn Bakers",17.41723320000000,78.54396890000000,"Gf Bhupathy Chambers Beside SBI, Habsiguda Main Road, Nagendra Nagar, Habsiguda, Secunderabad",ChIJ_6XPdDiZyzsRbpfE1Ct9rBc
"Eureka Forbes Ltd",17.32055220000000,78.55401839999999,"Unnamed Road, Hyderabad, Panchayatiraj Teachers Colony, Hastinapuram, Hyderabad",ChIJ____TxeiyzsR85xjgQd-HHk
"Yahoo Computers Vanasthalipuram",17.32371000000000,78.57148500000000,"NGO Colony, Vanasthalipuram, Hyderabad",ChIJ____xHObyzsRl4awTGASgjw
"S V Associates",17.42824500000000,78.54052999999999,"12-13-830/25, Gokul Nagar, Tarnaka, Tarnaka, Hyderabad",ChIJ_____2CZyzsRD4yMf8iEHdI
